n_provincia	n_partido	n_localidad	n_barrio	n_calle	n_numero	n_CP
BUENOS AIRES	AVELLANEDA	DOCK SUD		E DEL CAMPO	842	1871
BUENOS AIRES	EXALTACION DE LA CRUZ	CAPILLA DEL SEÑOR		RDO PADRE FAHY	578	2812
CAPITAL FEDERAL	CAPITAL FEDERAL	CIUDAD AUTONOMA BUENOS AIRES	VILLA DEL PARQUE	ALFREDO R BUFANO	2314	1416
CAPITAL FEDERAL	CAPITAL FEDERAL	CIUDAD AUTONOMA BUENOS AIRES	SAN NICOLAS	MAIPU	42	1084
CAPITAL FEDERAL	CAPITAL FEDERAL	CIUDAD AUTONOMA BUENOS AIRES	MONSERRAT	PERU	619	1068
JUJUY	SAN PEDRO	SAN PEDRO	CENTRO	GRAL MITRE	51	4500
CAPITAL FEDERAL	CAPITAL FEDERAL	CIUDAD AUTONOMA BUENOS AIRES	VILLA CRESPO	CUCHA CUCHA	1680	1416
CAPITAL FEDERAL	CAPITAL FEDERAL	CIUDAD AUTONOMA BUENOS AIRES	RETIRO	AV CORDOBA	817	1054
CAPITAL FEDERAL	CAPITAL FEDERAL	CIUDAD AUTONOMA BUENOS AIRES	SAN NICOLAS	TTE GRAL JUAN D PERON	315	1038
BUENOS AIRES	SAN ISIDRO	MARTINEZ		JOSE M ESTRADA	2079	1640
BUENOS AIRES	PINAMAR	PINAMAR		DEL TUYU	581	7167
CAPITAL FEDERAL	CAPITAL FEDERAL	CIUDAD AUTONOMA BUENOS AIRES	MATADEROS	GARCIA G DE DE ZEQUEIRA	7421	1440
CAPITAL FEDERAL	CAPITAL FEDERAL	CIUDAD AUTONOMA BUENOS AIRES	RECOLETA	FRENCH	2741	1425
CORDOBA	TERCERO ARRIBA	RIO TERCERO	CENTRO	R DE ESCALADA	162	5850
CAPITAL FEDERAL	CAPITAL FEDERAL	CIUDAD AUTONOMA BUENOS AIRES	ALMAGRO	GUARDIA VIEJA	3456	1192
BUENOS AIRES	SAN ISIDRO	BECCAR		SARANDI	27	1643
CAPITAL FEDERAL	CAPITAL FEDERAL	CIUDAD AUTONOMA BUENOS AIRES	COGHLAN	DR P I RIVERA	3423	1430
SANTA FE	ROSARIO	ROSARIO	BELLA VISTA	REP ORIENTAL DEL URUGUAY	3314	2003
CAPITAL FEDERAL	CAPITAL FEDERAL	CIUDAD AUTONOMA BUENOS AIRES	SAN NICOLAS	AV CORDOBA	652	1054
BUENOS AIRES	ESTEBAN ECHEVERRIA	9 DE ABRIL	1 DE MAYO	R OLIVER	1310	1776
CAPITAL FEDERAL		CIUDAD DE BUENOS AIRES				
SANTA FE	ROSARIO	ROSARIO	CINCO ESQUINAS	GRAL JUAN JOSE VIAMONTE	3260	2003
CAPITAL FEDERAL	CAPITAL FEDERAL	CIUDAD AUTONOMA BUENOS AIRES	VILLA PUEYRREDON	AV NAZCA	4340	1419
MISIONES	CAPITAL	POSADAS		RN 12		3300
CAPITAL FEDERAL	CAPITAL FEDERAL	CIUDAD AUTONOMA BUENOS AIRES	PALERMO	ANTONIO BERUTI	3873	1425
CAPITAL FEDERAL	CAPITAL FEDERAL	CIUDAD AUTONOMA BUENOS AIRES	ALMAGRO	AV B RIVADAVIA	4484	1205
BUENOS AIRES	CHIVILCOY	CHIVILCOY		AV SARMIENTO	302	6620
BUENOS AIRES	LA PLATA	LA PLATA	NORTE	CALLE 33	1050	1900
CAPITAL FEDERAL	CAPITAL FEDERAL	CIUDAD AUTONOMA BUENOS AIRES	RECOLETA	URUGUAY	1358	1016
SANTA FE	ROSARIO	ROSARIO	CENTRO	CNEL M DORREGO	986	2000
CAPITAL FEDERAL	CAPITAL FEDERAL	CIUDAD AUTONOMA BUENOS AIRES	ALMAGRO	DON BOSCO	4002	1206
BUENOS AIRES	GENERAL PUEYRREDON	MAR DEL PLATA	LOMAS DE STELLA MARIS	PBTO M ALBERTI	361	7600
BUENOS AIRES	VILLA GESELL	VILLA GESELL		AVENIDA 1		7165
CAPITAL FEDERAL	CAPITAL FEDERAL	CIUDAD AUTONOMA BUENOS AIRES	MONTE CASTRO	AV A ALVAREZ JONTE	4215	1407
SAN JUAN	CAPITAL	SAN JUAN		AV LIBERTADOR SAN MARTIN ESTE	394	5400
MENDOZA	GODOY CRUZ	GODOY CRUZ		PRES BERNARDINO RIVADAVIA	499	5501
CAPITAL FEDERAL	CAPITAL FEDERAL	CIUDAD AUTONOMA BUENOS AIRES	COLEGIALES	F DE CESPEDES	2411	1426
BUENOS AIRES	LANUS	LANUS ESTE	VILLA SARMIENTO	ONCATIVO	1252	1824
BUENOS AIRES	GENERAL SAN MARTIN	GENERAL SAN MARTIN	PTDO. GENERAL SAN MARTIN	CARRILLO RAMON DR		
SANTA FE	ROSARIO	ROSARIO	CENTRO	DR M MORENO	1111	2000
CAPITAL FEDERAL	CAPITAL FEDERAL	CIUDAD AUTONOMA BUENOS AIRES	CONSTITUCION	AV SAN JUAN	1490	1148
BUENOS AIRES	LA MATANZA	LOMAS DEL MIRADOR		AUSTRALIA	866	1752
CAPITAL FEDERAL	CAPITAL FEDERAL	CIUDAD AUTONOMA BUENOS AIRES	VILLA GENERAL MITRE	GALICIA	2391	1416
CORDOBA	CAPITAL	CORDOBA	NUEVA CORDOBA	J RONDEAU	344	5000
BUENOS AIRES	LANUS	LANUS ESTE		VELEZ SARSFIELD	2763	1825
BUENOS AIRES	LOMAS DE ZAMORA	LOMAS DE ZAMORA		PEDERNERA	354	1832
RIO NEGRO	GENERAL ROCA	CIPOLLETTI	CENTRO	PRES GRAL J A ROCA	170	8324
CAPITAL FEDERAL	CAPITAL FEDERAL	CIUDAD AUTONOMA BUENOS AIRES	COLEGIALES	AV ALVAREZ THOMAS	195	1427
CAPITAL FEDERAL	CAPITAL FEDERAL	CIUDAD AUTONOMA BUENOS AIRES	PATERNAL	CUCHA CUCHA	2729	1416
RIO NEGRO	GENERAL ROCA	CIPOLLETTI	BELGRANO	ALVEAR	60	8324
CAPITAL FEDERAL	CAPITAL FEDERAL	CIUDAD AUTONOMA BUENOS AIRES	FLORES	J BONIFACIO	1750	1406
CORDOBA	RIO CUARTO	RIO CUARTO		AV DR T GODOY CRUZ	350	5800
BUENOS AIRES	BERAZATEGUI	BERAZATEGUI OESTE	LOS MANZANOS	CALLE 12	2754	1884
BUENOS AIRES		ESCOBAR		COLECTORA OESTE KM 47800		1625
SANTA FE	ROSARIO	GRANADERO BAIGORRIA		MARIA EVA DUARTE DE PERON	639	2152
CAPITAL FEDERAL	CAPITAL FEDERAL	CIUDAD AUTONOMA BUENOS AIRES	VILLA DEL PARQUE	TINOGASTA	3260	1417
CAPITAL FEDERAL	CAPITAL FEDERAL	CIUDAD AUTONOMA BUENOS AIRES	VILLA ORTUZAR	ESTOMBA	1710	1430
CAPITAL FEDERAL	CAPITAL FEDERAL	CIUDAD AUTONOMA BUENOS AIRES	BELGRANO	AV CRAMER	2024	1428
CAPITAL FEDERAL	CAPITAL FEDERAL	CIUDAD AUTONOMA BUENOS AIRES	SAN TELMO	PERU	743	1068
RIO NEGRO	SAN ANTONIO	SAN ANTONIO OESTE		L N ALEM	49	8520
CORDOBA	CAPITAL	CORDOBA		SARMIENTO	1178	5000
BUENOS AIRES	GENERAL SAN MARTIN	VILLA GENERAL EUGENIO NECOCHEA		ITALIA	7353	1655
CORDOBA	CAPITAL	CORDOBA	ALTA CORDOBA	BV LAS HERAS	498	5000
BUENOS AIRES	MONTE HERMOSO	MONTE HERMOSO		AV DUFAUR	530	8153
CAPITAL FEDERAL	CAPITAL FEDERAL	CIUDAD AUTONOMA BUENOS AIRES	SAN NICOLAS	SAN MARTIN	459	1004
SANTA FE	ROSARIO	GRANADERO BAIGORRIA		AV GRAL SAN MARTIN	3126	2152
CAPITAL FEDERAL	CAPITAL FEDERAL	CIUDAD AUTONOMA BUENOS AIRES	PARQUE CHACABUCO	AV CARABOBO	1438	1406
CORDOBA	TERCERO ARRIBA	ALMAFUERTE		AV BUENOS AIRES	373	5854
BUENOS AIRES	LANUS	LANUS OESTE	VILLA INTERNACIONAL	MENDOZA	2864	1824
CAPITAL FEDERAL	CAPITAL FEDERAL	CIUDAD AUTONOMA BUENOS AIRES	ALMAGRO	ACUÑA DE FIGUEROA	966	1180
BUENOS AIRES	ESCOBAR	BELEN DE ESCOBAR		RUTA 25	1771	1625
BUENOS AIRES	VICENTE LOPEZ	VILLA MARTELLI		GRAL GUEMES	4907	1603
BUENOS AIRES	AVELLANEDA	WILDE		POLONIA	336	1875
CAPITAL FEDERAL	CAPITAL FEDERAL	CIUDAD AUTONOMA BUENOS AIRES	RECOLETA	AYACUCHO	1858	1112
MENDOZA	CAPITAL	MENDOZA		AV REP DE ESPAÑA	2645	5500
ENTRE RIOS	PARANA	PARANA		ALTE G BROWN	1654	3100
CAPITAL FEDERAL	CAPITAL FEDERAL	CIUDAD AUTONOMA BUENOS AIRES	BALVANERA	TTE GRAL JUAN D PERON	2630	1040
CAPITAL FEDERAL	CAPITAL FEDERAL	CIUDAD AUTONOMA BUENOS AIRES	VILLA DEVOTO	PJE R DE IBARROLA	3321	1419
BUENOS AIRES	GENERAL PUEYRREDON	MAR DEL PLATA	VILLA LOURDES	J RONDEAU	839	7603
SANTA FE		ROSARIO		PRE ROCA	730	2000
CAPITAL FEDERAL	CAPITAL FEDERAL	CIUDAD AUTONOMA BUENOS AIRES	BOCA	OLAVARRIA	266	1162
MENDOZA	CAPITAL	MENDOZA		SAN LORENZO	769	5500
CAPITAL FEDERAL	CAPITAL FEDERAL	CIUDAD AUTONOMA BUENOS AIRES	MONTE CASTRO	VIRGILIO	1664	1408
BUENOS AIRES	SAN ISIDRO	BOULOGNE SUR MER		AV A ROLON	2770	1609
CAPITAL FEDERAL	CAPITAL FEDERAL	CIUDAD AUTONOMA BUENOS AIRES	PALERMO	URIARTE	2309	1425
TUCUMAN	CAPITAL	SAN MIGUEL DE TUCUMAN	CENTRO	CONGRESO	89	4000
CAPITAL FEDERAL	CAPITAL FEDERAL	CIUDAD AUTONOMA BUENOS AIRES	BOEDO	AV J DE GARAY	3825	1256
CAPITAL FEDERAL	CAPITAL FEDERAL	CIUDAD AUTONOMA BUENOS AIRES	VILLA CRESPO	ARAOZ	84	1414
TIERRA DEL FUEGO	USHUAIA	USHUAIA	DON BOSCO	BELAKAMAIN	281	9410
CAPITAL FEDERAL	CAPITAL FEDERAL	CIUDAD AUTONOMA BUENOS AIRES	MONSERRAT	LIMA	355	1073
BUENOS AIRES	SAN MIGUEL	CAMPO DE MAYO		AV PRES ARTURO H ILLIA	1765	1659
SANTA CRUZ	DESEADO	LAS HERAS		JOSE M ESTRADA	45	9017
CAPITAL FEDERAL	CAPITAL FEDERAL	CIUDAD AUTONOMA BUENOS AIRES	BELGRANO	MENDOZA	3449	1430
BUENOS AIRES	SAN ISIDRO	SAN ISIDRO		AV B MARQUEZ	3055	1642
TIERRA DEL FUEGO		USHUAIA		PARQUE INDUSTRIAL		9410
BUENOS AIRES	LANUS	LANUS OESTE	VILLA ATLANTIDA	RESISTENCIA	1112	1824
CAPITAL FEDERAL	CAPITAL FEDERAL	CIUDAD AUTONOMA BUENOS AIRES	CONSTITUCION	SANTIAGO DEL ESTERO	1008	1075
CAPITAL FEDERAL	CAPITAL FEDERAL	CIUDAD AUTONOMA BUENOS AIRES	BALVANERA	AV CALLAO	420	1022
CORDOBA	CAPITAL	CORDOBA		BO AMPLIACION SAN CARLOS		5000
CORDOBA	CAPITAL	CORDOBA	VILLA SAN CARLOS	GRAL O HIGGINS	4049	5014
BUENOS AIRES	TIGRE	DON TORCUATO		TTE GRAL PABLO RICCHIERI	1643	1611
CAPITAL FEDERAL	CAPITAL FEDERAL	CIUDAD AUTONOMA BUENOS AIRES	VILLA LUGANO	PJE PAILEBOT DAVISON	3870	1439
CORRIENTES	SANTO TOME	GOBERNADOR INGENIERO V VIRASORO		A BONPLAND	156	3342
CAPITAL FEDERAL	CAPITAL FEDERAL	CIUDAD AUTONOMA BUENOS AIRES	SAN NICOLAS	AV L N ALEM	592	1001
CAPITAL FEDERAL	CAPITAL FEDERAL	CIUDAD AUTONOMA BUENOS AIRES	PARQUE CHAS	LA PAMPA	5818	1431
CAPITAL FEDERAL	CAPITAL FEDERAL	CIUDAD AUTONOMA BUENOS AIRES	BALVANERA	PTE H YRIGOYEN	2586	1090
CHACO	MAYOR LUIS J FONTANA	VILLA ANGELA		RIVADAVIA	955	3540
CAPITAL FEDERAL	CAPITAL FEDERAL	CIUDAD AUTONOMA BUENOS AIRES	BARRACAS	R DIAZ DE GUZMAN	172	1267
CAPITAL FEDERAL	CAPITAL FEDERAL	CIUDAD AUTONOMA BUENOS AIRES	MONTE CASTRO	LASCANO	4257	1417
CAPITAL FEDERAL	CAPITAL FEDERAL	CIUDAD AUTONOMA BUENOS AIRES	VILLA URQUIZA	LEON P ALTOLAGUIRRE	2049	1431
CAPITAL FEDERAL	CAPITAL FEDERAL	CIUDAD AUTONOMA BUENOS AIRES	BALVANERA	GRAL JUAN LAVALLE	2476	1052
CAPITAL FEDERAL	CAPITAL FEDERAL	CIUDAD AUTONOMA BUENOS AIRES	FLORESTA	GRAL VENANCIO FLORES	3745	1407
BUENOS AIRES	TRES DE FEBRERO	MARTIN CORONADO		LAS GOLONDRINAS	1437	1682
BUENOS AIRES	LA PLATA	CITY BELL		RN CNO GRAL BELGRANO	166	1896
CORDOBA	JUAREZ CELMAN	UCACHA		SANTA FE	21	2677
CAPITAL FEDERAL	CAPITAL FEDERAL	CIUDAD AUTONOMA BUENOS AIRES	RETIRO	AV SANTA FE	873	1059
CAPITAL FEDERAL	CAPITAL FEDERAL	CIUDAD AUTONOMA BUENOS AIRES	RECOLETA	PTE M T DE ALVEAR	2429	1122
BUENOS AIRES	FLORENCIO VARELA	FLORENCIO VARELA	CENTRO	BATALLA DE MAIPU	132	1888
SIN PROVINCIA		SIN LOCALIDAD		GRAL BELGRANO	2313	
CORDOBA	TERCERO ARRIBA	RIO TERCERO	CENTRO	VELEZ SARSFIELD	630	5850
BUENOS AIRES	JUNIN	JUNIN		RN 7		6000
CATAMARCA	CAPITAL	SAN FDO DEL VALLE DE CATAMARCA		RIVADAVIA	650	4700
CAPITAL FEDERAL	CAPITAL FEDERAL	CIUDAD AUTONOMA BUENOS AIRES	ALMAGRO	VENEZUELA	3656	1211
BUENOS AIRES	OLAVARRIA	OLAVARRIA	MICROCENTRO	DR M MORENO	2830	7400
CORDOBA	CAPITAL	CORDOBA	LOMAS DE SAN MARTIN	MONS P CABRERA	2320	5008
BUENOS AIRES	ZARATE	ZARATE		CNO DE LA COSTA BRAVA		2800
CAPITAL FEDERAL	CAPITAL FEDERAL	CIUDAD AUTONOMA BUENOS AIRES	SAN NICOLAS	AV L N ALEM	668	1001
CAPITAL FEDERAL	CAPITAL FEDERAL	CIUDAD AUTONOMA BUENOS AIRES	RECOLETA	AV GRAL JUAN M DE PUEYRREDON	2410	1119
CAPITAL FEDERAL	CAPITAL FEDERAL	CIUDAD AUTONOMA BUENOS AIRES	SAN NICOLAS	ALF H BOUCHARD	547	1106
BUENOS AIRES	SAN ISIDRO	BECCAR		ESPAÑA	1272	1643
SANTA FE	SAN LORENZO	SAN LORENZO		CMTE C ESCALADA	2064	2200
SAN LUIS		PARQUE INDUSTRIAL NORTE		CALLE 103		5738
SANTA FE	CASTELLANOS	RAFAELA	VILLA ROSAS	TRENTO	131	2300
BUENOS AIRES	LANUS	LANUS OESTE	VILLA JARDIN	TALCAHUANO	3702	1824
CAPITAL FEDERAL	CAPITAL FEDERAL	CIUDAD AUTONOMA BUENOS AIRES	SAN NICOLAS	SAN MARTIN	233	1004
CORDOBA	CAPITAL	CORDOBA	ALTA CORDOBA	M FRAGUEIRO	3150	5001
SANTA FE	ROSARIO	ROSARIO	LISANDRO DE LA TORRE	ALMAFUERTE	1521	2013
CAPITAL FEDERAL	CAPITAL FEDERAL	CIUDAD AUTONOMA BUENOS AIRES	VILLA URQUIZA	DR P I RIVERA	5232	1431
BUENOS AIRES	FLORENTINO AMEGHINO	BLAQUIER		AV GRAL SAN MARTIN	471	6065
CAPITAL FEDERAL	CAPITAL FEDERAL	CIUDAD AUTONOMA BUENOS AIRES	CHACARITA	M LEIVA	4847	1427
CAPITAL FEDERAL	CAPITAL FEDERAL	CIUDAD AUTONOMA BUENOS AIRES	SAN NICOLAS	TUCUMAN	540	1049
BUENOS AIRES	BOLIVAR	BOLIVAR		GRAL LAS HERAS	100	6550
MISIONES		POSADAS		LIBANO		3300
MISIONES		OBERA		CASILLA DE CORREO	77	3360
BUENOS AIRES	GENERAL SAN MARTIN	VILLA BALLESTER		ROSARIO	223	1653
CAPITAL FEDERAL	CAPITAL FEDERAL	CIUDAD AUTONOMA BUENOS AIRES	BALVANERA	TTE GRAL JUAN D PERON	2479	1040
CAPITAL FEDERAL	CAPITAL FEDERAL	CIUDAD AUTONOMA BUENOS AIRES	BARRACAS	CNEL SALVADORES	1367	1296
CAPITAL FEDERAL	CAPITAL FEDERAL	CIUDAD AUTONOMA BUENOS AIRES	ALMAGRO	SANCHEZ DE BUSTAMANTE	1086	1173
MENDOZA	SAN RAFAEL	LA LLAVE		VIAUELA 0		5603
CAPITAL FEDERAL	CAPITAL FEDERAL	CIUDAD AUTONOMA BUENOS AIRES	VILLA GENERAL MITRE	AV DR JUAN BAUTISTA JUSTO	4466	1416
SAN LUIS	CAPITAL	SAN LUIS		JUNIN	1421	5700
CAPITAL FEDERAL	CAPITAL FEDERAL	CIUDAD AUTONOMA BUENOS AIRES	SAN NICOLAS	PARANA	777	1017
BUENOS AIRES	PEHUAJO	PEHUAJO		PTE H YRIGOYEN	355	6450
BUENOS AIRES	LOMAS DE ZAMORA	LOMAS DE ZAMORA		BOQUERON	489	1832
CAPITAL FEDERAL	CAPITAL FEDERAL	CIUDAD AUTONOMA BUENOS AIRES	BALVANERA	VENEZUELA	2448	1096
CAPITAL FEDERAL	CAPITAL FEDERAL	CIUDAD AUTONOMA BUENOS AIRES	SAN NICOLAS	SAN MARTIN	140	1004
CAPITAL FEDERAL	CAPITAL FEDERAL	CIUDAD AUTONOMA BUENOS AIRES	BALVANERA	DR J JOSE PASO	665	1031
CAPITAL FEDERAL	CAPITAL FEDERAL	CIUDAD AUTONOMA BUENOS AIRES	MONSERRAT	LIMA	131	1073
BUENOS AIRES	TIGRE	EL TALAR		ITALIA	531	1617
CORDOBA	CAPITAL	CORDOBA	CENTRO	25 DE MAYO	496	5000
BUENOS AIRES	MERLO	MERLO		AV DEL LIBERTADOR	572	1722
CAPITAL FEDERAL	CAPITAL FEDERAL	CIUDAD AUTONOMA BUENOS AIRES	VILLA URQUIZA	QUESADA	4570	1430
CAPITAL FEDERAL	CAPITAL FEDERAL	CIUDAD AUTONOMA BUENOS AIRES	BARRACAS	SUAREZ	1690	1288
CORDOBA	CAPITAL	CORDOBA	CERRO DE LAS ROSAS	ADOLFO ORMA	1567	5009
CAPITAL FEDERAL	CAPITAL FEDERAL	CIUDAD AUTONOMA BUENOS AIRES	NUEVA POMPEYA	FOURNIER	2338	1437
CAPITAL FEDERAL	CAPITAL FEDERAL	CIUDAD AUTONOMA BUENOS AIRES	SAN NICOLAS	SAN MARTIN	320	1004
CAPITAL FEDERAL	CAPITAL FEDERAL	CIUDAD AUTONOMA BUENOS AIRES	RECOLETA	ARENALES	1736	1061
BUENOS AIRES	MORON	MORON		AV RIVADAVIA	18499	1708
SANTA FE		ROSARIO		RIOJA	3387	2000
CAPITAL FEDERAL	CAPITAL FEDERAL	CIUDAD AUTONOMA BUENOS AIRES	CABALLITO	ROSARIO	731	1424
BUENOS AIRES	SAN ISIDRO	BECCAR	VILLA URQUIZA	AV A ROLON	2239	1643
SAN JUAN	CAPITAL	SAN JUAN		B RIVADAVIA OESTE	2166	5400
CAPITAL FEDERAL	CAPITAL FEDERAL	CIUDAD AUTONOMA BUENOS AIRES	NUEVA POMPEYA	ANCASTE	3522	1437
CAPITAL FEDERAL	CAPITAL FEDERAL	CIUDAD AUTONOMA BUENOS AIRES	SAN NICOLAS	GRAL JUAN LAVALLE	750	1047
TUCUMAN	CAPITAL	SAN MIGUEL DE TUCUMAN	SUR	AV SAENZ PEÑA	169	4000
CAPITAL FEDERAL	CAPITAL FEDERAL	CIUDAD AUTONOMA BUENOS AIRES	PATERNAL	JOSE IGNACIO AÑASCO	2325	1416
CAPITAL FEDERAL	CAPITAL FEDERAL	CIUDAD AUTONOMA BUENOS AIRES	BALVANERA	DR J JOSE PASO	256	1031
BUENOS AIRES	BRAGADO	BRAGADO		SANTA MARIA	124	6640
BUENOS AIRES	TANDIL	TANDIL		RUTA 266		7000
SANTA FE	ROSARIO	ROSARIO	CENTRO	AVDA SAN MARTIN	1618	2000
BUENOS AIRES	PEHUAJO	PEHUAJO		PTE H YRIGOYEN	452	6450
CORRIENTES	SAN MARTIN	LA CRUZ		SAN MARTIN		3346
CAPITAL FEDERAL	CAPITAL FEDERAL	CIUDAD AUTONOMA BUENOS AIRES	VILLA DEL PARQUE	DR C ARGERICH	2647	1417
CAPITAL FEDERAL	CAPITAL FEDERAL	CIUDAD AUTONOMA BUENOS AIRES	MATADEROS	AV DIRECTORIO	5555	1440
CAPITAL FEDERAL	CAPITAL FEDERAL	CIUDAD AUTONOMA BUENOS AIRES	RECOLETA	PARANA	851	1017
CAPITAL FEDERAL	CAPITAL FEDERAL	CIUDAD AUTONOMA BUENOS AIRES	MONSERRAT	CHILE	1566	1100
SANTA FE	ROSARIO	ROSARIO	CENTRO	AV C PELLEGRINI	746	2000
BUENOS AIRES	CHIVILCOY	CHIVILCOY		AV DR B DE IRIGOYEN	24	6620
BUENOS AIRES	GENERAL SAN MARTIN	GENERAL SAN MARTIN		DIAGONAL 62	1865	1651
CAPITAL FEDERAL	CAPITAL FEDERAL	CIUDAD AUTONOMA BUENOS AIRES	RECOLETA	JUNCAL	2431	1425
BUENOS AIRES	LA MATANZA	LA TABLADA	VILLA INSUPERABLE	AV INTE E J CROVARA	1601	1766
BUENOS AIRES	ZARATE	ZARATE		RIVADAVIA	611	2800
MENDOZA	SAN RAFAEL	SAN RAFAEL		CNEL DAY	1470	5600
CAPITAL FEDERAL	CAPITAL FEDERAL	CIUDAD AUTONOMA BUENOS AIRES	SAN NICOLAS	AV B RIVADAVIA	893	1002
SANTA FE	ROSARIO	ROSARIO	CENTRO	PARAGUAY	936	2000
CORDOBA	GENERAL ROCA	HUINCA RENANCO		SAN MARTIN	468	6270
CORDOBA	CAPITAL	CORDOBA	GRAL BUSTOS	SAN ANTONIO M GIANELLI	836	5001
CAPITAL FEDERAL	CAPITAL FEDERAL	CIUDAD AUTONOMA BUENOS AIRES	FLORES	AV ALBERDI	2613	1406
CAPITAL FEDERAL	CAPITAL FEDERAL	CIUDAD AUTONOMA BUENOS AIRES	BALVANERA	MEXICO	1847	1222
BUENOS AIRES	VICENTE LOPEZ	OLIVOS		M DIAZ VELEZ	3106	1636
BUENOS AIRES	CHIVILCOY	CHIVILCOY		BOUCHARDO	130	6620
CAPITAL FEDERAL		CIUDAD AUTONOMA BUENOS AIRES				
SANTA FE		ROSARIO		BOULEVARD SEONI	1778	2000
CORDOBA	CAPITAL	CORDOBA	CENTRO	TUCUMAN	127	5000
SANTA FE	ROSARIO	ROSARIO	CENTRO	PARAGUAY	824	2000
BUENOS AIRES	TRES DE FEBRERO	CASEROS	PARTIDO 3 DE FEBRERO	AVENIDA MITRE		
CAPITAL FEDERAL	CAPITAL FEDERAL	CIUDAD AUTONOMA BUENOS AIRES	RECOLETA	AV SANTA FE	1678	1060
CAPITAL FEDERAL	CAPITAL FEDERAL	CIUDAD AUTONOMA BUENOS AIRES	FLORES	CARACAS	996	1406
CAPITAL FEDERAL	CAPITAL FEDERAL	CIUDAD AUTONOMA BUENOS AIRES	MONSERRAT	PTE H YRIGOYEN	923	1086
BUENOS AIRES	PILAR	PILAR		P LAGRAVE	281	1629
CORDOBA	CAPITAL	CORDOBA	GRANADERO PRINGLES	ARQUIMEDES	3577	5008
ENTRE RIOS	PARANA	PARANA		J RONDEAU	938	3100
CORDOBA	CAPITAL	CORDOBA	LAS PALMAS	AV DUARTE QUIROS	4512	5002
CAPITAL FEDERAL	CAPITAL FEDERAL	CIUDAD AUTONOMA BUENOS AIRES	PARQUE PATRICIOS	COLONIA	156	1437
CAPITAL FEDERAL	CAPITAL FEDERAL	CIUDAD AUTONOMA BUENOS AIRES	SAN NICOLAS	MAIPU	42	1084
CAPITAL FEDERAL	CAPITAL FEDERAL	CIUDAD AUTONOMA BUENOS AIRES	FLORESTA	MERCEDES	255	1407
SIN PROVINCIA		SIN LOCALIDAD		RUTA 7		
CAPITAL FEDERAL	CAPITAL FEDERAL	CIUDAD AUTONOMA BUENOS AIRES	SAN NICOLAS	SAN MARTIN	379	1004
CAPITAL FEDERAL	CAPITAL FEDERAL	CIUDAD AUTONOMA BUENOS AIRES	ALMAGRO	TTE GRAL JUAN D PERON	3978	1198
CAPITAL FEDERAL	CAPITAL FEDERAL	CIUDAD AUTONOMA BUENOS AIRES	LINIERS	T GORDILLO	1036	1408
CAPITAL FEDERAL	CAPITAL FEDERAL	CIUDAD AUTONOMA BUENOS AIRES	PALERMO	CABELLO	3370	1425
BUENOS AIRES	SAN NICOLAS	SAN NICOLAS DE LOS ARROYOS	SAAVEDRA	AV SAVIO	1130	2900
CORDOBA	COLON	JESUS MARIA	CENTRO	PIO LEON	66	5220
CHUBUT	ESCALANTE	COMODORO RIVADAVIA	J M PUEYRREDON	LA PRENSA	482	9000
CAPITAL FEDERAL	CAPITAL FEDERAL	CIUDAD AUTONOMA BUENOS AIRES	SAN NICOLAS	FLORIDA	621	1005
BUENOS AIRES	QUILMES	EZPELETA ESTE	NAMUNCURA	CALLE 401 BIS	940	1882
CAPITAL FEDERAL	CAPITAL FEDERAL	CIUDAD AUTONOMA BUENOS AIRES	CABALLITO	CNEL R L FALCON	1568	1406
CAPITAL FEDERAL	CAPITAL FEDERAL	CIUDAD AUTONOMA BUENOS AIRES	BARRACAS	AV REGIMIENTO DE PATRICIOS	915	1265
BUENOS AIRES	AVELLANEDA	GERLI		GRAL GUEMES	1146	1870
CAPITAL FEDERAL	CAPITAL FEDERAL	CIUDAD AUTONOMA BUENOS AIRES	RETIRO	MAIPU	1300	1006
BUENOS AIRES	GENERAL PUEYRREDON	MAR DEL PLATA	LA PERLA	INDEPENDENCIA	1441	7600
CAPITAL FEDERAL	CAPITAL FEDERAL	CIUDAD AUTONOMA BUENOS AIRES	RECOLETA	ANTONIO BERUTI	2902	1425
BUENOS AIRES	AVELLANEDA	AVELLANEDA		GRAL SAN MARTIN	981	1870
CAPITAL FEDERAL	CAPITAL FEDERAL	CIUDAD AUTONOMA BUENOS AIRES	SAN NICOLAS	FLORIDA	234	1005
CHUBUT	RAWSON	TRELEW	CENTRO	RIVADAVIA	253	9100
SAN JUAN		ANGACO NORTE		NACIONAL S/N 0		5415
CORDOBA	CAPITAL	CORDOBA	ALTO ALBERDI	MAESTRO VIDAL	330	5002
CORDOBA		CORDOBA	RIVADAVIA	LUIS BRAILE		5000
CAPITAL FEDERAL	CAPITAL FEDERAL	CIUDAD AUTONOMA BUENOS AIRES	MATADEROS	MONTIEL	2151	1440
CAPITAL FEDERAL	CAPITAL FEDERAL	CIUDAD AUTONOMA BUENOS AIRES	SAN NICOLAS	GRAL JUAN LAVALLE	1591	1048
SANTA FE		ROSARIO		CORDOBA	7750	2000
BUENOS AIRES	AVELLANEDA	AVELLANEDA		CARLOS SEMINARIO	1319	1870
CAPITAL FEDERAL	CAPITAL FEDERAL	CIUDAD AUTONOMA BUENOS AIRES	VILLA DEVOTO	LADINES	3669	1419
